"","id_plot","av_annual_pp","av_annual_mean_tp","av_annual_min_tp","av_annual_max_tp","int","t0","t1"
"1",7000400102,1365,3.755,-1.685,9.2,11,"D","D"
"2",7000400201,1377,3.5,-1.92,8.925,11,"D","D"
"3",7000400302,1289.5,3.99,-1.575,9.555,11,"D","D"
"4",7000400401,1398,3.3,-2.08,8.675,11,"M","D"
"5",7000400501,1328,4.16,-1.295,9.615,11,"D","D"
"6",7000400502,1343.5,4.03,-1.395,9.455,11,"D","D"
"7",7000400601,1214,5.49,0,10.975,11,"D","M"
"8",7000400602,1224.5,5.395,-0.08,10.87,11,"M","M"
"9",7000400701,1333,3.75,-1.685,9.18,11,"M","M"
"11",7000401201,1246.5,5.17,-0.2,10.535,11,"C","C"
"12",7000401301,1274.5,4.075,-1.39,9.535,11,"C","C"
"13",7000401402,1258,4.83,-0.545,10.2,11,"M","M"
"14",7000401501,1191.5,5.475,0.02,10.93,11,"D","D"
"15",7000401502,1192,5.475,0.025,10.93,11,"C","M"
"16",7000401601,1237,5.085,-0.275,10.44,11,"D","D"
"17",7000401602,1237,5.08,-0.27,10.43,11,"C","M"
"18",7000401702,1241,5.105,-0.215,10.425,11,"T","T"
"19",7000401801,1248,4.465,-0.92,9.845,11,"D","D"
"20",7000401802,1248,4.465,-0.92,9.845,11,"M","M"
"21",7000401901,1279.5,4.23,-1.095,9.555,11,"M","D"
"22",7000401902,1284.5,4.175,-1.145,9.495,11,"M","M"
"23",7000402002,1190,5.4,-0.02,10.815,11,"M","M"
"24",7000402101,1318,3.745,-1.55,9.035,11,"M","M"
"25",7000402201,1313,3.65,-1.66,8.965,11,"M","M"
"26",7000402301,1325,3.625,-1.65,8.905,11,"M","C"
"27",7000402501,1230,4.63,-0.765,10.02,11,"M","M"
"28",7000402502,1234,4.59,-0.79,9.975,11,"D","D"
"29",7000402701,1272.5,4.775,-0.4,9.95,11,"D","D"
"30",7000402702,1272,4.775,-0.4,9.96,11,"D","D"
"31",7000402801,1255,3.805,-1.69,9.295,11,"D","D"
"32",7000402802,1260,3.76,-1.715,9.24,11,"D","D"
"33",7000402901,1307,3.89,-1.37,9.145,11,"M","M"
"34",7000402902,1305,3.915,-1.345,9.175,11,"D","D"
"35",7000403101,1263,3.705,-1.76,9.165,11,"M","M"
"36",7000403501,1211,5.07,-0.27,10.415,11,"C","C"
"38",7000403602,1231,4.905,-0.4,10.205,11,"C","C"
"39",7000403802,1242.5,4.78,-0.5,10.06,11,"C","C"
"40",7000403902,1216.5,4.955,-0.39,10.3,11,"M","M"
"41",7000404002,1342.5,3.29,-1.92,8.5,11,"C","C"
"42",7000404201,1304.5,3.225,-2.15,8.59,11,"M","M"
"43",7000404202,1330,2.995,-2.335,8.325,11,"T","M"
"45",7000404502,1271,4.195,-1.095,9.49,11,"D","D"
