"" "" "state_quad"
"1" "0" "0" "M"
"2" "0" "20" "M"
"3" "0" "40" "M"
"4" "0" "60" "M"
"5" "0" "80" "M"
"6" "0" "100" "M"
"7" "0" "120" "T"
"8" "0" "140" "M"
"9" "0" "160" "M"
"10" "0" "180" "M"
"11" "0" "200" "M"
"12" "0" "220" "M"
"13" "0" "240" "C"
"14" "0" "260" "M"
"15" "0" "280" "M"
"16" "0" "300" "M"
"17" "20" "0" "M"
"18" "20" "20" "M"
"19" "20" "40" "M"
"20" "20" "60" "M"
"21" "20" "80" "M"
"22" "20" "100" "M"
"23" "20" "120" "M"
"24" "20" "140" "T"
"25" "20" "160" "C"
"26" "20" "180" "M"
"27" "20" "200" "M"
"28" "20" "220" "M"
"29" "20" "240" "M"
"30" "20" "260" "M"
"31" "20" "280" "T"
"32" "20" "300" "M"
"33" "40" "0" "M"
"34" "40" "20" "M"
"35" "40" "40" "M"
"36" "40" "60" "M"
"37" "40" "80" "M"
"38" "40" "100" "M"
"39" "40" "120" "C"
"40" "40" "140" "C"
"41" "40" "160" "C"
"42" "40" "180" "C"
"43" "40" "200" "M"
"44" "40" "220" "M"
"45" "40" "240" "M"
"46" "40" "260" "M"
"47" "40" "280" "M"
"48" "40" "300" "M"
"49" "60" "0" "M"
"50" "60" "20" "M"
"51" "60" "40" "C"
"52" "60" "60" "M"
"53" "60" "80" "C"
"54" "60" "100" "M"
"55" "60" "120" "M"
"56" "60" "140" "C"
"57" "60" "160" "C"
"58" "60" "180" "M"
"59" "60" "200" "M"
"60" "60" "220" "M"
"61" "60" "240" "C"
"62" "60" "260" "M"
"63" "60" "280" "M"
"64" "60" "300" "M"
"65" "80" "0" "M"
"66" "80" "20" "M"
"67" "80" "40" "C"
"68" "80" "60" "M"
"69" "80" "80" "M"
"70" "80" "100" "M"
"71" "80" "120" "M"
"72" "80" "140" "M"
"73" "80" "160" "C"
"74" "80" "180" "M"
"75" "80" "200" "M"
"76" "80" "220" "C"
"77" "80" "240" "C"
"78" "80" "260" "M"
"79" "80" "280" "M"
"80" "80" "300" "M"
"81" "100" "0" "M"
"82" "100" "20" "M"
"83" "100" "40" "M"
"84" "100" "60" "M"
"85" "100" "80" "M"
"86" "100" "100" "M"
"87" "100" "120" "M"
"88" "100" "140" "M"
"89" "100" "160" "M"
"90" "100" "180" "M"
"91" "100" "200" "M"
"92" "100" "220" "C"
"93" "100" "240" "C"
"94" "100" "260" "M"
"95" "100" "280" "T"
"96" "100" "300" "M"
"97" "120" "0" "M"
"98" "120" "20" "M"
"99" "120" "40" "M"
"100" "120" "60" "M"
"101" "120" "80" "M"
"102" "120" "100" "M"
