"" "" "state_quad"
"1" "80" "0" "D"
"2" "100" "0" "D"
"3" "100" "20" "M"
"4" "100" "520" "M"
"5" "80" "20" "T"
"6" "80" "40" "M"
"7" "80" "60" "D"
"8" "100" "60" "M"
"9" "100" "40" "M"
"10" "80" "80" "M"
"11" "100" "80" "M"
"12" "100" "100" "D"
"13" "80" "100" "D"
"14" "80" "520" "D"
"15" "80" "120" "D"
"16" "100" "120" "D"
"17" "80" "140" "M"
"18" "100" "140" "D"
"19" "80" "160" "D"
"20" "100" "160" "M"
"21" "100" "180" "M"
"22" "80" "180" "M"
"23" "100" "200" "M"
"24" "80" "200" "T"
"25" "100" "220" "T"
"26" "80" "220" "T"
"27" "100" "240" "T"
"28" "80" "240" "T"
"29" "100" "260" "D"
"30" "80" "260" "T"
"31" "80" "280" "M"
"32" "100" "280" "T"
"33" "80" "300" "M"
"34" "100" "300" "T"
"35" "100" "320" "T"
"36" "80" "320" "T"
"37" "80" "340" "T"
"38" "100" "340" "T"
"39" "80" "360" "M"
"40" "100" "360" "M"
"41" "80" "380" "M"
"42" "100" "380" "T"
"43" "80" "400" "T"
"44" "100" "400" "T"
"45" "80" "420" "M"
"46" "100" "420" "M"
"47" "80" "440" "M"
"48" "80" "580" "M"
"49" "100" "440" "M"
"50" "80" "460" "M"
"51" "100" "460" "D"
"52" "80" "480" "D"
"53" "100" "480" "D"
"54" "80" "500" "M"
"55" "100" "500" "M"
"56" "100" "580" "D"
"57" "100" "540" "D"
"58" "80" "560" "T"
"59" "100" "560" "M"
"60" "80" "540" "M"
"61" "100" "600" "M"
"62" "80" "600" "M"
"63" "80" "620" "M"
"64" "100" "620" "M"
"65" "100" "640" "M"
"66" "100" "660" "D"
"67" "100" "680" "D"
"68" "100" "700" "D"
"69" "100" "720" "M"
"70" "80" "640" "M"
"71" "80" "660" "M"
"72" "80" "680" "M"
"73" "80" "700" "T"
"74" "80" "720" "T"
"75" "80" "740" "T"
"76" "100" "760" "T"
"77" "80" "760" "M"
"78" "80" "780" "T"
"79" "100" "780" "M"
"80" "100" "800" "M"
"81" "80" "800" "T"
"82" "80" "820" "T"
"83" "100" "820" "M"
"84" "100" "840" "T"
"85" "80" "840" "T"
"86" "80" "860" "T"
"87" "100" "860" "T"
"88" "100" "880" "T"
"89" "80" "880" "M"
"90" "80" "900" "T"
"91" "100" "900" "T"
"92" "100" "920" "M"
"93" "80" "920" "T"
"94" "80" "940" "M"
"95" "100" "940" "M"
"96" "100" "960" "M"
"97" "80" "960" "M"
"98" "80" "980" "M"
"99" "100" "980" "M"
"100" "40" "0" "M"
"101" "40" "20" "M"
"102" "60" "20" "D"
"103" "60" "40" "M"
"104" "40" "40" "D"
"105" "40" "60" "D"
"106" "60" "60" "D"
"107" "40" "80" "D"
"108" "60" "80" "T"
"109" "60" "100" "M"
"110" "40" "100" "M"
"111" "40" "120" "D"
"112" "60" "120" "D"
"113" "60" "140" "D"
"114" "40" "140" "M"
"115" "40" "160" "D"
"116" "60" "160" "M"
"117" "60" "180" "D"
"118" "60" "200" "M"
"119" "40" "180" "T"
"120" "40" "200" "T"
"121" "40" "220" "M"
"122" "60" "220" "T"
"123" "60" "240" "T"
"124" "40" "240" "T"
"125" "40" "260" "T"
"126" "60" "260" "M"
"127" "60" "280" "T"
"128" "40" "280" "M"
"129" "40" "300" "M"
"130" "60" "300" "T"
"131" "60" "320" "T"
"132" "40" "320" "T"
"133" "40" "340" "T"
"134" "60" "340" "T"
"135" "60" "360" "T"
"136" "40" "360" "T"
"137" "40" "380" "T"
"138" "60" "380" "M"
