"st0" "st1" "yr0" "yr1" "lat" "lon" "annual_pp" "annual_mean_temp" "annual_min_temp" "annual_max_temp"
"7000400102" "M" "T" 1997 2008 -71.884717 45.014554 1365 3.755 -1.685 9.2
"7000400201" "M" "T" 1997 2008 -71.732475 45.033127 1377 3.5 -1.92 8.925
"7000400302" "R" "R" 1997 2008 -71.577209 45.051426 1289.5 3.99 -1.575 9.555
"7000400401" "M" "M" 1997 2008 -71.687419 45.048408 1398 3.3 -2.08 8.675
"7000400501" "T" "T" 1997 2008 -71.95549 45.051218 1328 4.16 -1.295 9.615
"7000400502" "M" "M" 1997 2008 -71.949696 45.050032 1343.5 4.03 -1.395 9.455
"7000400601" "R" "M" 1997 2008 -72.366962 45.049615 1214 5.49 0 10.975
"7000400602" "M" "M" 1997 2008 -72.37007 45.046907 1224.5 5.395 -0.08 10.87
"7000400701" "M" "M" 1997 2008 -71.627274 45.100888 1333 3.75 -1.685 9.18
"7000400802" "M" "M" 1997 2008 -72.121406 45.098041 1240.5 5.195 -0.31 10.695
"7000401001" "R" "R" 1997 2008 -71.56785 45.149433 1307 3.925 -1.495 9.35
"7000401201" "T" "T" 1997 2008 -72.233279 45.166545 1246.5 5.17 -0.2 10.535
"7000401301" "R" "M" 1997 2008 -71.416534 45.183909 1274.5 4.075 -1.39 9.535
"7000401401" "M" "M" 1997 2008 -71.932617 45.20018 1257.5 4.84 -0.535 10.215
"7000401402" "M" "M" 1997 2008 -71.926706 45.201001 1258 4.83 -0.545 10.2
"7000401501" "T" "T" 1997 2008 -71.982822 45.2292 1191.5 5.475 0.02 10.93
"7000401502" "M" "M" 1997 2008 -71.983108 45.232868 1192 5.475 0.025 10.93
"7000401801" "M" "M" 1997 2008 -71.450298 45.300357 1248 4.465 -0.92 9.845
"7000401802" "M" "M" 1997 2008 -71.447023 45.303534 1248 4.465 -0.92 9.845
"7000401901" "T" "T" 1997 2008 -71.498326 45.300802 1279.5 4.23 -1.095 9.555
"7000401902" "M" "M" 1997 2008 -71.494441 45.298155 1284.5 4.175 -1.145 9.495
"7000402002" "T" "T" 1997 2008 -71.880054 45.302947 1190 5.4 -0.02 10.815
"7000402101" "M" "M" 1997 2008 -71.334189 45.316031 1318 3.745 -1.55 9.035
"7000402201" "M" "M" 1997 2008 -71.134044 45.348939 1313 3.65 -1.66 8.965
"7000402202" "M" "R" 1997 2008 -71.139325 45.347632 1313 3.655 -1.655 8.965
"7000402301" "M" "R" 1997 2008 -71.232996 45.349706 1325 3.625 -1.65 8.905
"7000402402" "M" "M" 1997 2008 -71.352149 45.363772 1255 4.355 -1.01 9.71
"7000402501" "M" "M" 1997 2008 -71.398817 45.366933 1230 4.63 -0.765 10.02
"7000402502" "T" "T" 1997 2008 -71.401786 45.364165 1234 4.59 -0.79 9.975
"7000402701" "T" "T" 1997 2008 -72.166734 45.366126 1272.5 4.775 -0.4 9.95
"7000402702" "T" "T" 1997 2008 -72.170136 45.362992 1272 4.775 -0.4 9.96
"7000402801" "T" "T" 1997 2008 -70.833508 45.384497 1255 3.805 -1.69 9.295
"7000402802" "T" "T" 1997 2008 -70.837726 45.387292 1260 3.76 -1.715 9.24
"7000402901" "M" "M" 1997 2008 -71.345266 45.398729 1307 3.89 -1.37 9.145
"7000402902" "T" "T" 1997 2008 -71.350704 45.399381 1305 3.915 -1.345 9.175
