"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",9.0354000,2.63777,0,10,"Cauchy",0
"ab1",2.4088000,1.22478,0,2.5,"Cauchy",0
"ab2",2.8404800,3.04757,0,2.5,"Cauchy",0
"ab3",-0.2732180,0.486243,0,2.5,"Cauchy",0
"ab4",1.5627700,2.25988,0,2.5,"Cauchy",0
"ab5",0,0.5,0,2.5,"Cauchy",1
"ab6",0,0.5,0,2.5,"Cauchy",1
"at0",0.4814930,1.28422,0,10,"Cauchy",0
"at1",1.0728000,2.79532,0,2.5,"Cauchy",0
"at2",0.5197240,1.25576,0,2.5,"Cauchy",0
"at3",-0.1208460,2.45412,0,2.5,"Cauchy",0
"at4",-0.1792580,1.05567,0,2.5,"Cauchy",0
"at5",0,0.5,0,2.5,"Cauchy",1
"at6",0,0.5,0,2.5,"Cauchy",1
"bb0",-0.4711390,0.272894,0,10,"Cauchy",0
"bb1",0.1860370,0.474755,0,2.5,"Cauchy",0
"bb2",-0.1730500,0.311202,0,2.5,"Cauchy",0
"bb3",-0.2074720,0.466389,0,2.5,"Cauchy",0
"bb4",-0.0391819,0.1966,0,2.5,"Cauchy",0
"bb5",0,0.5,0,2.5,"Cauchy",1
"bb6",0,0.5,0,2.5,"Cauchy",1
"bt0",-1.6564700,0.291288,0,10,"Cauchy",0
"bt1",0.0751024,0.448595,0,2.5,"Cauchy",0
"bt2",0.3456230,0.304049,0,2.5,"Cauchy",0
"bt3",0.1765160,0.508898,0,2.5,"Cauchy",0
"bt4",-0.0750212,0.195247,0,2.5,"Cauchy",0
"bt5",0,0.5,0,2.5,"Cauchy",1
"bt6",0,0.5,0,2.5,"Cauchy",1
"tt0",0.8214170,0.350781,0,10,"Cauchy",0
"tt1",0.6611820,0.564419,0,2.5,"Cauchy",0
"tt2",-0.1776200,0.371114,0,2.5,"Cauchy",0
"tt3",-0.0236532,0.510251,0,2.5,"Cauchy",0
"tt4",-0.2839450,0.256667,0,2.5,"Cauchy",0
"tt5",0,0.5,0,2.5,"Cauchy",1
"tt6",0,0.5,0,2.5,"Cauchy",1
"th0",-2.9385900,0.184307,0,10,"Cauchy",0
"th1",0.0909529,0.262,0,2.5,"Cauchy",0
"th2",-0.2974450,0.202144,0,2.5,"Cauchy",0
"th3",0.4913130,0.329475,0,2.5,"Cauchy",0
"th4",0.0838798,0.126973,0,2.5,"Cauchy",0
"th5",0,0.5,0,2.5,"Cauchy",1
"th6",0,0.5,0,2.5,"Cauchy",1
"e0",-6.1079000,0.444215,0,10,"Cauchy",0
"e1",-1.4342100,0.340614,0,2.5,"Cauchy",0
"e2",-0.0991393,0.467204,0,2.5,"Cauchy",0
"e3",-0.4865100,0.142569,0,2.5,"Cauchy",0
"e4",0.0788367,0.294176,0,2.5,"Cauchy",0
"e5",0,0.5,0,2.5,"Cauchy",1
"e6",0,0.5,0,2.5,"Cauchy",1
