"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",8.89147,0.5,0,10,"Normal",0
"ab1",0,0.5,0,5,"Normal",1
"ab2",0,0.5,0,5,"Normal",1
"ab3",0,0.5,0,5,"Normal",1
"ab4",0,0.5,0,5,"Normal",1
"ab5",0,0.5,0,5,"Normal",1
"ab6",0,0.5,0,5,"Normal",1
"at0",8.83883,0.5,0,10,"Normal",0
"at1",1.57902,0.5,0,5,"Normal",0
"at2",1.66578,0.5,0,5,"Normal",0
"at3",291.78,0.5,0,5,"Normal",0
"at4",-4.07755,0.5,0,5,"Normal",0
"at5",0,0.5,0,5,"Normal",1
"at6",0,0.5,0,5,"Normal",1
"bb0",-1.02217,0.5,0,10,"Normal",0
"bb1",-0.457759,0.5,0,5,"Normal",0
"bb2",0.311773,0.5,0,5,"Normal",0
"bb3",0.0802822,0.5,0,5,"Normal",0
"bb4",-0.0769386,0.5,0,5,"Normal",0
"bb5",0,0.5,0,5,"Normal",1
"bb6",0,0.5,0,5,"Normal",1
"bt0",-0.773778,0.5,0,10,"Normal",0
"bt1",0.338644,0.5,0,5,"Normal",0
"bt2",0.354222,0.5,0,5,"Normal",0
"bt3",-0.131957,0.5,0,5,"Normal",0
"bt4",-0.182444,0.5,0,5,"Normal",0
"bt5",0,0.5,0,5,"Normal",1
"bt6",0,0.5,0,5,"Normal",1
"tt0",0.60996,0.5,0,10,"Normal",0
"tt1",0.472768,0.5,0,5,"Normal",0
"tt2",0.0305373,0.5,0,5,"Normal",0
"tt3",-0.218747,0.5,0,5,"Normal",0
"tt4",-0.194368,0.5,0,5,"Normal",0
"tt5",0,0.5,0,5,"Normal",1
"tt6",0,0.5,0,5,"Normal",1
"th0",-3.01755,0.5,0,10,"Normal",0
"th1",-0.10095,0.5,0,5,"Normal",0
"th2",-0.182561,0.5,0,5,"Normal",0
"th3",0.315941,0.5,0,5,"Normal",0
"th4",0.102963,0.5,0,5,"Normal",0
"th5",0,0.5,0,5,"Normal",1
"th6",0,0.5,0,5,"Normal",1
"e0",-5.9105,0.5,0,10,"Normal",0
"e1",-1.10554,0.5,0,5,"Normal",0
"e2",-0.00466154,0.5,0,5,"Normal",0
"e3",-0.239575,0.5,0,5,"Normal",0
"e4",-0.0201589,0.5,0,5,"Normal",0
"e5",0,0.5,0,5,"Normal",1
"e6",0,0.5,0,5,"Normal",1
