"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",92.2319,0.5,0,10,"Normal",0
"ab1",0,0.5,0,5,"Normal",1
"ab2",0,0.5,0,5,"Normal",1
"ab3",0,0.5,0,5,"Normal",1
"ab4",0,0.5,0,5,"Normal",1
"ab5",0,0.5,0,5,"Normal",1
"ab6",0,0.5,0,5,"Normal",1
"at0",340.468,0.5,0,10,"Normal",0
"at1",0,0.5,0,5,"Normal",1
"at2",0,0.5,0,5,"Normal",1
"at3",0,0.5,0,5,"Normal",1
"at4",0,0.5,0,5,"Normal",1
"at5",0,0.5,0,5,"Normal",1
"at6",0,0.5,0,5,"Normal",1
"bb0",-1.1276,0.5,0,10,"Normal",0
"bb1",0,0.5,0,5,"Normal",1
"bb2",0,0.5,0,5,"Normal",1
"bb3",0,0.5,0,5,"Normal",1
"bb4",0,0.5,0,5,"Normal",1
"bb5",0,0.5,0,5,"Normal",1
"bb6",0,0.5,0,5,"Normal",1
"bt0",-0.983333,0.5,0,10,"Normal",0
"bt1",0,0.5,0,5,"Normal",1
"bt2",0,0.5,0,5,"Normal",1
"bt3",0,0.5,0,5,"Normal",1
"bt4",0,0.5,0,5,"Normal",1
"bt5",0,0.5,0,5,"Normal",1
"bt6",0,0.5,0,5,"Normal",1
"tt0",0.264953,0.5,0,10,"Normal",0
"tt1",0,0.5,0,5,"Normal",1
"tt2",0,0.5,0,5,"Normal",1
"tt3",0,0.5,0,5,"Normal",1
"tt4",0,0.5,0,5,"Normal",1
"tt5",0,0.5,0,5,"Normal",1
"tt6",0,0.5,0,5,"Normal",1
"th0",-2.84058,0.5,0,10,"Normal",0
"th1",0,0.5,0,5,"Normal",1
"th2",0,0.5,0,5,"Normal",1
"th3",0,0.5,0,5,"Normal",1
"th4",0,0.5,0,5,"Normal",1
"th5",0,0.5,0,5,"Normal",1
"th6",0,0.5,0,5,"Normal",1
"e0",-5.53508,0.5,0,10,"Normal",0
"e1",0,0.5,0,5,"Normal",1
"e2",0,0.5,0,5,"Normal",1
"e3",0,0.5,0,5,"Normal",1
"e4",0,0.5,0,5,"Normal",1
"e5",0,0.5,0,5,"Normal",1
"e6",0,0.5,0,5,"Normal",1
